gameId,2018WL,HTP,2019WL,FTR,goals,homegoals,Aways,2020WL,Win/Loss
4519157822,0,2,1,9,28,6,11,0,0
4523371949,0,1,0,5,12,5,5,0,0
4521474530,0,0,0,7,15,11,4,1,1
4524384067,0,1,0,4,43,5,5,1,0
4436033771,0,4,0,6,75,6,6,0,0
4475365709,1,0,0,5,18,3,6,1,1
4493010632,1,3,1,7,18,6,7,1,1
4496759358,0,2,0,5,16,13,3,0,0
4443048030,0,3,0,7,16,7,8,0,0
4509433346,1,1,1,4,13,5,5,1,1
4452162573,0,3,1,4,20,4,6,0,0
4453038156,0,2,1,11,33,11,7,1,0
4515594785,1,1,1,7,18,1,11,1,1
4524924257,0,3,0,4,14,9,1,1,0
4516505202,1,3,1,4,15,4,4,0,0
4482120064,0,1,0,3,17,7,3,0,0
4523758462,1,1,1,10,14,2,8,0,0
4503636905,0,3,0,3,43,7,3,1,0
4486384947,1,4,1,5,21,4,11,0,0
4457103291,0,3,0,5,11,9,5,0,0
4472164226,1,3,1,11,14,6,15,1,1
4445294621,0,1,0,4,13,13,5,0,0
4480384157,0,2,0,4,17,6,3,0,0
4520898233,0,4,0,4,78,3,4,2,1
4522124566,1,3,0,6,33,9,10,0,0
4523978853,0,1,0,4,17,8,4,0,0
4507834811,1,1,0,8,18,6,9,1,1
4501319968,0,3,1,7,19,4,9,0,0
4519148589,0,5,1,8,105,6,13,1,1
4484877784,0,5,0,3,18,8,2,1,1
4466931235,1,7,1,9,22,4,10,1,1
4524189570,1,4,1,5,17,2,6,2,1
4503380070,0,3,0,6,12,4,7,0,0
4497858921,0,2,1,5,15,4,4,0,0
4509242024,1,2,0,6,40,4,4,0,0
4524296550,0,3,0,3,24,4,6,0,0
4516034199,0,4,0,2,12,8,2,1,1
4504386463,0,2,1,5,20,6,4,1,0
4523799496,0,3,0,7,11,9,5,1,0
4379931850,0,2,0,3,18,6,3,1,0
4523858150,0,3,0,4,28,11,3,0,0
4459778854,1,1,0,10,36,6,12,0,0
4499523222,1,3,0,9,18,6,14,1,1
4477029310,1,2,1,5,12,5,3,0,0
4525037711,0,4,1,3,18,4,2,1,0
4459414345,0,0,0,1,41,10,0,0,0
4505664040,1,4,1,11,14,2,9,0,0
4439587692,1,1,1,8,19,4,5,1,1
4508000311,1,2,0,2,15,3,2,1,0
4513365614,0,1,0,5,16,5,8,0,0
4473252742,0,0,0,7,14,9,5,0,0
4438138890,1,0,0,6,18,8,6,0,0
4467008289,1,4,1,5,22,2,2,2,1
4492625917,1,2,1,5,37,3,5,0,0
4502901044,0,4,0,3,14,3,2,1,1
4467732013,0,2,0,4,16,10,4,1,0
4514402510,0,0,1,5,17,7,7,1,1
4521277262,1,3,1,10,19,6,11,1,1
4521752962,1,3,1,7,29,5,5,2,1
4514070165,0,0,0,10,12,7,11,0,0
4525056568,0,4,0,2,18,7,0,0,0
4521255103,0,3,0,6,24,7,5,0,0
4510728488,1,2,1,6,18,4,4,1,1
4516919746,1,3,1,9,122,1,10,2,1
4499868617,0,4,0,4,12,10,3,1,1
4514234813,0,2,0,6,52,12,7,0,0
4513591449,0,2,0,4,19,5,2,0,0
4471416203,0,4,1,7,32,8,8,1,1
4521227315,1,0,0,3,14,5,3,0,0
4424144387,0,5,1,4,19,5,4,0,0
4517806218,0,2,1,9,16,8,7,1,0
4479974478,1,0,1,5,36,4,6,0,0
4423018162,0,2,1,8,18,2,11,0,0
4518401885,0,3,1,2,13,7,1,1,1
4525208730,1,3,1,6,15,4,4,1,1
4512774492,1,4,1,6,50,4,8,2,1
4522772001,0,2,0,4,14,6,1,0,0
4464439713,1,2,1,8,17,4,7,1,0
4479823004,1,1,0,13,18,9,18,1,1
4507330276,0,5,0,7,17,6,12,0,0
4447392049,0,6,1,11,43,4,12,1,0
4521089901,0,1,0,6,12,6,10,1,1
4427944005,0,2,0,7,20,8,6,1,0
4509784380,1,3,0,9,18,8,7,1,1
4524411421,1,0,0,10,16,10,14,1,1
4519898107,1,2,0,7,14,2,12,2,1
4517633575,0,6,0,1,12,6,0,0,0
4521948875,1,4,0,5,16,8,7,1,1
4509102299,1,0,0,10,15,4,12,0,0
4525041896,0,3,0,3,13,10,2,1,1
4515706467,0,13,1,7,83,11,3,0,0
4476006621,0,4,1,3,17,5,2,0,0
4499940691,1,3,1,9,16,2,5,0,0
4426644547,1,4,1,7,14,7,6,0,0
4525072812,0,2,0,7,14,7,10,1,1
4524217548,0,1,0,5,17,10,6,0,0
4499622849,1,6,1,5,16,4,9,0,0
4499844894,1,1,0,6,40,8,10,1,0
4460534353,1,0,0,11,16,6,11,2,1
4495269641,0,1,0,5,16,8,4,1,0
4524995677,0,4,1,6,16,8,2,1,1
4464596479,0,3,0,4,14,6,4,0,0
4452452649,0,5,0,6,13,7,2,0,0
4420481816,0,4,0,8,18,3,7,1,0
4412895789,0,0,0,8,24,11,9,0,0
4525114135,0,5,0,6,12,4,8,1,1
4496624699,1,3,0,6,17,14,4,0,0
4522663961,0,3,0,3,19,5,1,0,0
4522251387,1,3,1,9,12,5,9,0,0
4472377536,1,3,0,6,14,4,6,1,1
4466226469,1,2,1,2,19,7,2,1,1
4473936532,0,2,0,5,16,10,3,2,1
4524445302,1,1,0,12,18,9,10,0,0
4459740551,0,1,1,9,17,17,17,0,0
4463542711,1,2,1,12,32,6,12,1,1
4508629003,0,2,1,7,16,9,5,2,1
4475094281,1,5,1,7,19,10,7,0,0
4513430767,1,1,1,6,14,4,12,1,1
4508634893,0,2,0,2,12,6,1,0,0
4522792360,0,6,1,5,30,5,7,1,0
4507927084,0,5,0,8,18,8,8,1,1
4522505411,0,16,0,3,14,9,2,0,0
4454104215,1,2,0,9,14,8,10,1,1
4516166112,1,6,1,10,13,7,10,0,0
4454239214,0,4,0,3,16,10,2,0,0
4517801069,1,3,1,9,38,7,11,1,1
4518738712,1,1,0,7,40,14,6,1,1
4497571086,1,5,0,5,18,3,6,1,1
4477243448,0,3,0,6,40,7,6,0,0
4386507847,1,5,0,7,18,5,6,0,0
4474136526,1,5,0,7,17,1,8,0,0
4523618632,1,5,1,6,15,3,11,1,1
4507859079,1,2,1,4,18,4,4,0,0
4524740998,1,6,1,4,43,7,4,1,1
4512162103,0,5,0,5,13,7,4,0,0
4465066223,1,1,0,6,13,9,2,1,1
4523411488,1,1,1,9,20,7,15,1,1
4524017392,1,1,1,12,15,4,9,1,0
4513054107,1,1,0,5,17,5,6,0,0
4478629184,0,4,0,3,28,4,3,1,1
